gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
Tubb5,0.5609141,5.1489599687640746e-228,0.9326270485019037,0.8796448572012082
H3f3a,0.43513948,3.6224987395368544e-227,0.9687137891077636,0.941192910042673
Pfn1,0.24124059,1.927659398568408e-216,0.998510180433703,0.9980867004181312
Ybx1,0.78687894,6.971575700738402e-215,0.7376262208243668,0.622144830329023
Mif,0.7709686,2.3157063630151104e-211,0.7737129614302268,0.6867455634022336
Rap1a,0.88419616,3.508957820996126e-210,0.6811786128124483,0.4934270635150968
Id2,1.611982,1.7866004307253464e-203,0.3986095017381228,0.16988595444627175
Ptprcap,0.52141476,1.0383220450100988e-195,0.917232246316835,0.8464308363698902
Cd2,0.64675623,1.1027143273401521e-194,0.8336368150968383,0.7236142014124021
Pa2g4,0.9979589,5.280207930274762e-190,0.5854990895547095,0.4216138359506842
Hspe1,0.7663511,2.2634812585626447e-189,0.7230590961761297,0.6020014403491234
